text,label
"
IBM CERTIFICATE

Awarded To

Teja

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Ganesh Naidu

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Kiran

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Sai Krishna

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Kiran

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Arun

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Sai Krishna

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Suresh

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Vijay

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Kiran

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Ganesh Naidu

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Arun

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ravi Kumar

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Vijay

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
